Date,Open,High,Low,Close,Volume,Dividend,SMA 200,Enter_200
2005-04-15,115.74,116.2,114.1,114.15,128677300,0.0,115.61960000000005,1
2005-04-18,114.12,114.96,113.96,114.5,100035200,0.0,115.62740000000005,1
2005-04-19,115.1,115.53,114.83,115.41,64930100,0.0,115.64005000000004,1
2005-04-20,115.38,115.63,113.55,113.8,107735900,0.0,115.64960000000005,1
2005-04-21,114.79,116.21,114.38,116.01,86952200,0.0,115.66855000000004,1
2005-04-22,115.74,116.5,114.27,115.57,88845800,0.0,115.68920000000004,1
2005-04-25,115.86,116.5,115.72,116.33,52284100,0.0,115.71220000000005,1
2005-04-26,115.96,116.77,115.15,115.2,72626000,0.0,115.72930000000005,1
2005-04-27,114.86,116.07,114.44,115.65,84131900,0.0,115.74825000000006,1
2005-04-28,115.27,115.68,114.2,114.2,72481500,0.0,115.76165000000006,1
2005-04-29,115.07,115.87,113.97,115.75,103993800,0.0,115.78640000000007,0
2005-05-02,116.07,116.41,115.52,116.4,56026400,0.0,115.81485000000008,0
2005-05-03,116.07,116.85,115.69,116.6,86000300,0.0,115.84665000000007,0
2005-05-04,116.65,117.75,116.28,117.5,81055700,0.0,115.87595000000006,0
2005-05-05,117.67,118.0,116.74,117.46,96906700,0.0,115.91535000000005,0
2005-05-06,117.93,117.99,117.06,117.09,67415400,0.0,115.95140000000005,0
2005-05-09,117.21,118.08,117.05,117.82,43750500,0.0,115.99570000000006,0
2005-05-10,117.36,117.5,116.39,116.6,74613500,0.0,116.03495000000004,0
2005-05-11,116.93,117.4,115.85,117.24,91647400,0.0,116.07230000000006,0
2005-05-12,117.32,117.59,115.95,115.95,95086800,0.0,116.10155000000006,0
2005-05-13,116.3,116.62,114.8,115.72,85267000,0.0,116.12730000000006,0
2005-05-16,115.7,116.84,115.66,116.8,49207000,0.0,116.15710000000007,0
2005-05-17,116.41,117.7,116.16,117.58,61071800,0.0,116.18965000000007,0
2005-05-18,118.09,119.08,118.01,118.79,77944900,0.0,116.23255000000009,0
2005-05-19,119.02,119.41,118.7,119.29,61768100,0.0,116.27800000000008,0
2005-05-20,119.34,119.39,118.74,119.12,46345500,0.0,116.33160000000007,0
2005-05-23,119.21,120.04,119.19,119.78,51047900,0.0,116.39625000000007,0
2005-05-24,119.44,119.83,119.2,119.5,50654100,0.0,116.45875000000007,0
2005-05-25,119.35,119.87,118.83,119.41,47608800,0.0,116.51390000000006,0
2005-05-26,119.79,120.21,119.62,120.05,43256200,0.0,116.57335000000006,0
2005-05-27,120.06,120.25,119.8,120.25,24596100,0.0,116.63970000000006,0
2005-05-31,120.08,120.17,119.4,119.48,43377200,0.0,116.70115000000007,1
2005-06-01,119.52,120.92,119.45,120.5,69611000,0.0,116.76215000000008,1
2005-06-02,120.23,120.84,120.1,120.76,39704500,0.0,116.82140000000007,1
2005-06-03,120.55,120.89,119.73,120.15,60999400,0.0,116.87200000000009,1
2005-06-06,119.95,120.2,119.55,120.04,36046400,0.0,116.9236500000001,1
2005-06-07,120.39,121.25,120.01,120.13,66501300,0.0,116.97190000000009,1
2005-06-08,120.43,120.59,119.67,119.91,46881200,0.0,117.0204500000001,1
2005-06-09,119.74,120.58,119.44,120.48,56653300,0.0,117.0711000000001,1
2005-06-10,120.56,120.65,119.6,120.2,36465300,0.0,117.1166000000001,1
2005-06-13,119.94,121.08,119.81,120.58,49383200,0.0,117.16400000000013,1
2005-06-14,120.45,121.2,120.38,120.86,33857100,0.0,117.21105000000013,1
2005-06-15,121.16,121.24,120.23,121.09,53195600,0.0,117.26385000000013,1
2005-06-16,121.06,121.64,120.92,121.4,46564500,0.0,117.31530000000014,1
2005-06-17,121.54,121.9,121.22,121.36,51529400,0.488,117.36550000000014,1
2005-06-20,121.08,121.84,120.94,121.4,41019400,0.0,117.40960000000014,1
